Port Name,Measure,Year,Month of Date,Value
Hidalgo,Personal Vehicle Passengers,2023,January,785925
Hidalgo,Pedestrians,2023,January,175268
Hidalgo,Buses,2023,January,869
Hidalgo,Bus Passengers,2023,January,15823
Laredo,Trucks,2023,May,258137
Laredo,Truck Containers Loaded,2023,May,204563
Laredo,Truck Containers Empty,2023,May,61465
Laredo,Trains,2023,May,370
Laredo,Rail Containers Loaded,2023,May,27201
Laredo,Rail Containers Empty,2023,May,18495
Laredo,Personal Vehicles,2023,May,412966
Laredo,Personal Vehicle Passengers,2023,May,771727
Laredo,Pedestrians,2023,May,238375
Laredo,Buses,2023,May,2701
Laredo,Bus Passengers,2023,May,61367
Laredo,Trucks,2023,April,225025
Laredo,Truck Containers Loaded,2023,April,185135
Laredo,Truck Containers Empty,2023,April,53893
Laredo,Trains,2023,April,429
Laredo,Rail Containers Loaded,2023,April,26238
Laredo,Rail Containers Empty,2023,April,20010
Laredo,Personal Vehicles,2023,April,405061
Laredo,Personal Vehicle Passengers,2023,April,802713
Laredo,Pedestrians,2023,April,231001
Laredo,Buses,2023,April,2644
Laredo,Bus Passengers,2023,April,75809
Laredo,Trucks,2023,March,263896
Laredo,Truck Containers Loaded,2023,March,207616
Laredo,Truck Containers Empty,2023,March,61984
Laredo,Trains,2023,March,398
Laredo,Rail Containers Loaded,2023,March,27116
Laredo,Rail Containers Empty,2023,March,20820
Laredo,Personal Vehicles,2023,March,406556
Laredo,Personal Vehicle Passengers,2023,March,764275
Laredo,Pedestrians,2023,March,242685
Laredo,Buses,2023,March,2693
Laredo,Bus Passengers,2023,March,71299
Laredo,Trucks,2023,February,229763
Laredo,Truck Containers Loaded,2023,February,181046
Laredo,Truck Containers Empty,2023,February,54699
Laredo,Trains,2023,February,333
Laredo,Rail Containers Loaded,2023,February,23380
Laredo,Rail Containers Empty,2023,February,16626
Laredo,Personal Vehicles,2023,February,360982
Laredo,Personal Vehicle Passengers,2023,February,672427
Laredo,Pedestrians,2023,February,207458
Laredo,Buses,2023,February,1986
Laredo,Bus Passengers,2023,February,45665
Laredo,Trucks,2023,January,232840
Laredo,Truck Containers Loaded,2023,January,180272
Laredo,Truck Containers Empty,2023,January,59138
Laredo,Trains,2023,January,367
Laredo,Rail Containers Loaded,2023,January,24036
Laredo,Rail Containers Empty,2023,January,20162
Laredo,Personal Vehicles,2023,January,407791
Laredo,Personal Vehicle Passengers,2023,January,831433
Laredo,Pedestrians,2023,January,225422
Laredo,Buses,2023,January,2746
Laredo,Bus Passengers,2023,January,85926
Presidio,Trucks,2023,May,995
Presidio,Truck Containers Loaded,2023,May,639
Presidio,Truck Containers Empty,2023,May,362
Presidio,Personal Vehicles,2023,May,61393
Presidio,Personal Vehicle Passengers,2023,May,117727
Presidio,Pedestrians,2023,May,19623
Presidio,Buses,2023,May,104
Presidio,Bus Passengers,2023,May,165
Presidio,Trucks,2023,April,840
Presidio,Truck Containers Loaded,2023,April,548
Presidio,Truck Containers Empty,2023,April,299
Presidio,Personal Vehicles,2023,April,59790
Presidio,Personal Vehicle Passengers,2023,April,118992
Presidio,Pedestrians,2023,April,17830
Presidio,Buses,2023,April,108
Presidio,Bus Passengers,2023,April,178
Presidio,Trucks,2023,March,946
Presidio,Truck Containers Loaded,2023,March,591
Presidio,Truck Containers Empty,2023,March,355
Presidio,Personal Vehicles,2023,March,59138
Presidio,Personal Vehicle Passengers,2023,March,117046
Presidio,Pedestrians,2023,March,13984
Presidio,Buses,2023,March,94
Presidio,Bus Passengers,2023,March,144
Presidio,Trucks,2023,February,956
Presidio,Truck Containers Loaded,2023,February,652
Presidio,Truck Containers Empty,2023,February,315
Presidio,Personal Vehicles,2023,February,50457
Presidio,Personal Vehicle Passengers,2023,February,95937
Presidio,Pedestrians,2023,February,9732
Presidio,Buses,2023,February,83
Presidio,Bus Passengers,2023,February,143
Presidio,Trucks,2023,January,1075
Presidio,Truck Containers Loaded,2023,January,756
Presidio,Truck Containers Empty,2023,January,343
Presidio,Personal Vehicles,2023,January,59809
Presidio,Personal Vehicle Passengers,2023,January,124143
Presidio,Pedestrians,2023,January,24450
Presidio,Buses,2023,January,73
Presidio,Bus Passengers,2023,January,120
Progreso,Trucks,2023,May,3751
Progreso,Truck Containers Loaded,2023,May,2711
Progreso,Truck Containers Empty,2023,May,1134
Progreso,Personal Vehicles,2023,May,110336
Progreso,Personal Vehicle Passengers,2023,May,230858
Progreso,Pedestrians,2023,May,80696
Progreso,Trucks,2023,April,3067
Progreso,Truck Containers Loaded,2023,April,2543
Progreso,Truck Containers Empty,2023,April,712
Progreso,Personal Vehicles,2023,April,117888
Progreso,Personal Vehicle Passengers,2023,April,257032
Progreso,Pedestrians,2023,April,94278
Progreso,Trucks,2023,March,4704
Progreso,Truck Containers Loaded,2023,March,4121
Progreso,Truck Containers Empty,2023,March,772
Progreso,Personal Vehicles,2023,March,119682
Progreso,Personal Vehicle Passengers,2023,March,254672
Progreso,Pedestrians,2023,March,119974
Progreso,Trucks,2023,February,3610
Progreso,Truck Containers Loaded,2023,February,2973
Progreso,Truck Containers Empty,2023,February,901
Progreso,Personal Vehicles,2023,February,108394
Progreso,Personal Vehicle Passengers,2023,February,231798
Progreso,Pedestrians,2023,February,120660
Progreso,Trucks,2023,January,3550
Progreso,Truck Containers Loaded,2023,January,2901
Progreso,Truck Containers Empty,2023,January,1060
Progreso,Personal Vehicles,2023,January,115302
Progreso,Personal Vehicle Passengers,2023,January,248383
Progreso,Pedestrians,2023,January,118364
Rio Grande City,Trucks,2023,May,4174
Rio Grande City,Truck Containers Loaded,2023,May,4028
Rio Grande City,Truck Containers Empty,2023,May,326
Rio Grande City,Personal Vehicles,2023,May,36813
Rio Grande City,Personal Vehicle Passengers,2023,May,74334
Rio Grande City,Pedestrians,2023,May,6637
Rio Grande City,Trucks,2023,April,3731
Rio Grande City,Truck Containers Loaded,2023,April,3676
Rio Grande City,Truck Containers Empty,2023,April,281
Rio Grande City,Personal Vehicles,2023,April,35935
Rio Grande City,Personal Vehicle Passengers,2023,April,74014
Rio Grande City,Pedestrians,2023,April,6005
Rio Grande City,Trucks,2023,March,4034
Rio Grande City,Truck Containers Loaded,2023,March,3608
Rio Grande City,Truck Containers Empty,2023,March,616
Rio Grande City,Personal Vehicles,2023,March,36398
Rio Grande City,Personal Vehicle Passengers,2023,March,73532
Rio Grande City,Pedestrians,2023,March,9197
Rio Grande City,Trucks,2023,February,3531
Rio Grande City,Truck Containers Loaded,2023,February,3123
Rio Grande City,Truck Containers Empty,2023,February,780
Rio Grande City,Personal Vehicles,2023,February,33530
Rio Grande City,Personal Vehicle Passengers,2023,February,67608
Rio Grande City,Pedestrians,2023,February,9793
Rio Grande City,Trucks,2023,January,3664
Rio Grande City,Truck Containers Loaded,2023,January,3369
Rio Grande City,Truck Containers Empty,2023,January,765
Rio Grande City,Personal Vehicles,2023,January,35992
Rio Grande City,Personal Vehicle Passengers,2023,January,73533
Rio Grande City,Pedestrians,2023,January,7181
Roma,Trucks,2023,May,4028
Roma,Truck Containers Loaded,2023,May,3579
Roma,Truck Containers Empty,2023,May,638
Roma,Personal Vehicles,2023,May,68292
Roma,Personal Vehicle Passengers,2023,May,121360
Roma,Pedestrians,2023,May,18051
Roma,Buses,2023,May,55
Roma,Bus Passengers,2023,May,701
Roma,Trucks,2023,April,3304
Roma,Truck Containers Loaded,2023,April,2839
Roma,Truck Containers Empty,2023,April,546
Roma,Personal Vehicles,2023,April,67113
Roma,Personal Vehicle Passengers,2023,April,124690
Roma,Pedestrians,2023,April,19127
Roma,Buses,2023,April,46
Roma,Bus Passengers,2023,April,813
Roma,Trucks,2023,March,3613
Roma,Truck Containers Loaded,2023,March,2941
Roma,Truck Containers Empty,2023,March,759
Roma,Personal Vehicles,2023,March,67863
Roma,Personal Vehicle Passengers,2023,March,124073
Roma,Pedestrians,2023,March,17179
Roma,Buses,2023,March,50
Roma,Bus Passengers,2023,March,774
Roma,Trucks,2023,February,3179
Roma,Truck Containers Loaded,2023,February,2506
Roma,Truck Containers Empty,2023,February,733
Roma,Personal Vehicles,2023,February,61658
Roma,Personal Vehicle Passengers,2023,February,111286
Roma,Pedestrians,2023,February,15241
Roma,Buses,2023,February,34
Roma,Bus Passengers,2023,February,290
Roma,Trucks,2023,January,3458
Roma,Truck Containers Loaded,2023,January,2731
Roma,Truck Containers Empty,2023,January,797
Roma,Personal Vehicles,2023,January,65989
Roma,Personal Vehicle Passengers,2023,January,123836
Tornillo,Personal Vehicles,2023,May,42045
Tornillo,Personal Vehicle Passengers,2023,May,76421
Tornillo,Pedestrians,2023,May,3393
Tornillo,Personal Vehicles,2023,April,40132
Tornillo,Personal Vehicle Passengers,2023,April,73443
Tornillo,Pedestrians,2023,April,3281
Tornillo,Personal Vehicles,2023,March,37992
Tornillo,Personal Vehicle Passengers,2023,March,68727
Tornillo,Pedestrians,2023,March,2251
Tornillo,Personal Vehicles,2023,February,32508
Tornillo,Personal Vehicle Passengers,2023,February,57375
Tornillo,Pedestrians,2023,February,2904
Tornillo,Personal Vehicles,2023,January,33128
Tornillo,Personal Vehicle Passengers,2023,January,59154
Tornillo,Pedestrians,2023,January,3136
Ysleta,Trucks,2023,May,59109
Ysleta,Truck Containers Loaded,2023,May,39610
Ysleta,Truck Containers Empty,2023,May,20042
Ysleta,Personal Vehicles,2023,May,291251
Ysleta,Personal Vehicle Passengers,2023,May,496352
Ysleta,Pedestrians,2023,May,125507
Ysleta,Trucks,2023,April,49856
Ysleta,Truck Containers Loaded,2023,April,35258
Ysleta,Truck Containers Empty,2023,April,16653
Ysleta,Personal Vehicles,2023,April,284268
Ysleta,Personal Vehicle Passengers,2023,April,498382
Ysleta,Pedestrians,2023,April,124304
Ysleta,Trucks,2023,March,63768
Ysleta,Truck Containers Loaded,2023,March,41636
Ysleta,Truck Containers Empty,2023,March,22314
Ysleta,Personal Vehicles,2023,March,287051
Ysleta,Personal Vehicle Passengers,2023,March,489628
Ysleta,Pedestrians,2023,March,115287
Ysleta,Trucks,2023,February,56522
Ysleta,Truck Containers Loaded,2023,February,36406
Ysleta,Truck Containers Empty,2023,February,20399
Ysleta,Personal Vehicles,2023,February,267937
Ysleta,Personal Vehicle Passengers,2023,February,455338
Ysleta,Trucks,2023,January,60032
Ysleta,Truck Containers Loaded,2023,January,37855
Ysleta,Truck Containers Empty,2023,January,22708
Ysleta,Personal Vehicles,2023,January,288814
Ysleta,Personal Vehicle Passengers,2023,January,493582
Ysleta,Pedestrians,2023,January,108023
